APR_MDC_key,intake_date,intake_date
00,2019-08-13,14
00,2016-12-07,13
00,2017-02-02,13
00,2019-05-02,13
00,2019-06-17,13
00,2019-12-02,13
00,2016-11-30,12
00,2016-12-15,12
00,2017-11-14,12
00,2017-12-13,12
00,2019-01-08,12
00,2019-05-08,12
00,2019-05-27,12
00,2019-09-02,12
00,2019-09-09,12
00,2019-09-11,12
00,2019-11-13,12
00,2019-11-20,12
00,2019-12-18,12
00,2016-02-23,11
00,2017-05-23,11
00,2017-12-06,11
00,2019-03-13,11
00,2019-03-20,11
00,2019-03-27,11
00,2019-06-05,11
00,2019-06-26,11
00,2019-07-10,11
00,2019-09-18,11
00,2019-10-16,11
00,2016-02-22,10
00,2016-05-10,10
00,2017-03-23,10
00,2017-04-19,10
00,2017-06-07,10
00,2017-08-09,10
00,2017-08-29,10
00,2017-09-11,10
00,2017-10-17,10
00,2018-05-22,10
00,2019-02-27,10
00,2019-03-06,10
00,2019-04-03,10
00,2019-06-24,10
00,2019-08-07,10
00,2019-08-28,10
00,2019-09-04,10
00,2019-10-14,10
00,2019-10-21,10
00,2019-10-22,10
00,2019-10-24,10
00,2019-11-07,10
00,2016-01-05,9
00,2016-02-03,9
00,2016-04-05,9
00,2016-04-06,9
00,2016-05-25,9
00,2016-06-28,9
00,2016-08-17,9
00,2016-09-07,9
00,2016-09-21,9
00,2016-10-06,9
00,2016-10-20,9
00,2016-11-02,9
00,2016-11-17,9
00,2016-12-27,9
00,2017-01-09,9
00,2017-05-02,9
00,2017-09-18,9
00,2017-10-11,9
00,2017-12-07,9
00,2017-12-20,9
00,2018-01-30,9
00,2018-03-29,9
00,2019-01-07,9
00,2019-02-05,9
00,2019-02-14,9
00,2019-04-17,9
00,2019-04-24,9
00,2019-05-13,9
00,2019-06-03,9
00,2019-06-13,9
00,2019-07-22,9
00,2019-08-21,9
00,2019-10-23,9
00,2019-10-30,9
00,2019-11-05,9
00,2019-11-06,9
00,2019-11-18,9
00,2019-12-03,9
00,2016-01-28,8
00,2016-02-18,8
00,2016-05-26,8
00,2016-06-21,8
00,2016-08-16,8
00,2017-01-02,8
00,2017-01-10,8
00,2017-03-08,8
00,2017-03-22,8
00,2017-04-18,8
00,2017-06-06,8
00,2017-06-14,8
00,2017-06-27,8
00,2017-07-19,8
00,2017-08-28,8
00,2017-09-26,8
00,2017-09-27,8
00,2017-10-09,8
00,2017-10-23,8
00,2017-11-08,8
00,2017-11-15,8
00,2017-12-05,8
00,2018-05-08,8
00,2018-06-20,8
00,2019-01-02,8
00,2019-01-14,8
00,2019-01-21,8
00,2019-01-30,8
00,2019-03-25,8
00,2019-05-20,8
00,2019-05-22,8
00,2019-06-27,8
00,2019-07-02,8
00,2019-07-17,8
00,2019-07-24,8
00,2019-08-05,8
00,2019-10-02,8
00,2019-10-07,8
00,2019-11-12,8
00,2019-11-27,8
00,2019-12-04,8
00,2021-09-21,8
00,2016-01-14,7
00,2016-02-10,7
00,2016-03-03,7
00,2016-03-10,7
00,2016-05-04,7
00,2016-05-11,7
00,2016-05-12,7
00,2016-05-31,7
00,2016-06-02,7
00,2016-06-16,7
00,2016-06-29,7
00,2016-08-08,7
00,2016-08-24,7
00,2016-09-09,7
00,2016-09-27,7
00,2016-10-03,7
00,2016-10-17,7
00,2016-10-18,7
00,2016-11-03,7
